"","ObservationDate","Confirmed","Recovered","Deaths","Active"
"149","06/18/2020",83325,78398,4634,293
"150","06/19/2020",83325,78398,4634,293
"151","06/20/2020",83380,78412,4634,334
"152","06/21/2020",83396,78412,4634,350
"153","06/22/2020",83418,78424,4634,360
"154","06/23/2020",83431,78427,4634,370
"155","06/24/2020",83449,78431,4634,384
"156","06/25/2020",83462,78439,4634,389
"157","06/26/2020",83483,78444,4634,405
"158","06/27/2020",83500,78451,4634,415
"159","06/28/2020",83512,78460,4634,418
"160","06/29/2020",83531,78469,4634,428
"161","06/30/2020",83534,78480,4634,420
"162","07/01/2020",83537,78488,4634,415
"163","07/02/2020",83542,78500,4634,408
"164","07/03/2020",83545,78510,4634,401
"165","07/04/2020",83553,78516,4634,403
"166","07/05/2020",83557,78517,4634,406
"167","07/06/2020",83558,78523,4634,401
"168","07/07/2020",83572,78548,4634,390
"169","07/08/2020",83581,78590,4634,357
