"","ObservationDate","Confirmed","Recovered","Deaths","Active"
"151","06/29/2020",240436,189196,34744,16496
"152","06/30/2020",240578,190248,34767,15563
"153","07/01/2020",240760,190717,34788,15255
"154","07/02/2020",240961,191083,34818,15060
"155","07/03/2020",241184,191467,34833,14884
"156","07/04/2020",241419,191944,34854,14621
"157","07/05/2020",241611,192108,34861,14642
"158","07/06/2020",241819,192241,34869,14709
"159","07/07/2020",241956,192815,34899,14242
"160","07/08/2020",242149,193640,34914,13595
